Date,Follower_count,Comment_count,Like_count,Hashtags,Hashtag_count,Mentions,Mention_count
2014-04-27 14:40:53,34234,82,3116,"#Unlearn,#unlearn,#ENTREPRENEUR,#UNLEARN,#HAPPY,#Unlearn,#unlearn,#UNLEARN,#unlearn,#doingtheimpossible,#unlearn,#Unlearn,#unlearn,#doingtheimpossible",14,"@patrickbetdavid,@patrickbetdavid",2
2014-06-24 07:34:27,34213,99,3386,"#unlearn,#bethankful,#unlearn,#unlearn,#unlearn,#priceless,#StayActive,#tigranandmaralwedding,#weddingcrashersnotallowed,#unlearn,#BeNice,#unlearn,#unlearn,#Unlearn,#unlearn,#ENTREPRENEUR,#UNLEARN,#HAPPY",18,"@3_maral_16,@tigranbekian",2
2015-03-07 21:01:19,,,,,,,
2015-03-14 13:31:53,,,,,,,
2015-04-25 05:48:17,,,,,,,
2015-11-06 07:32:56,,,,,,,
2016-04-19 18:06:54,,,,,,,
2016-10-01 20:14:01,,,,,,,
2016-11-19 04:42:17,,,,,,,
2016-11-20 00:27:24,,,,,,,
2017-01-18 17:46:41,,,,,,,
2017-02-05 22:02:40,,,,,,,
2017-04-06 01:23:44,,,,,,,
2017-07-21 15:54:01,,,,,,,
2017-09-22 23:47:13,,,,,,,
2017-09-24 01:56:20,,,,,,,
2017-11-24 04:04:26,,,,,,,
2018-01-28 06:47:07,,,,,,,
2018-03-30 23:12:50,599234,2305,110425,"#Only4MoreToGo,#ManySurprisesComingSoon",2,"@newsweek,@tigerwoods,@kobebryant,@jordan.b.peterson,@eschmidt,@dallascowboys,@phpagency.,@jenbetdavid,@phpagency,@moneysmartguy,@rodolfophp,@jfgaytan,@iamjorgepelayo,@thebullofmoney,@grazianiforpresident,@Valuetainment",16
2018-05-31 05:43:12,599234,2305,110425,"#Only4MoreToGo,#ManySurprisesComingSoon",2,"@newsweek,@tigerwoods,@kobebryant,@jordan.b.peterson,@eschmidt,@dallascowboys,@phpagency.,@jenbetdavid,@phpagency,@moneysmartguy,@rodolfophp,@jfgaytan,@iamjorgepelayo,@thebullofmoney,@grazianiforpresident,@Valuetainment",16
2018-08-02 09:17:46,599234,2305,110425,"#Only4MoreToGo,#ManySurprisesComingSoon",2,"@newsweek,@tigerwoods,@kobebryant,@jordan.b.peterson,@eschmidt,@dallascowboys,@phpagency.,@jenbetdavid,@phpagency,@moneysmartguy,@rodolfophp,@jfgaytan,@iamjorgepelayo,@thebullofmoney,@grazianiforpresident,@Valuetainment",16
2018-10-02 17:50:24,599234,2305,110425,"#Only4MoreToGo,#ManySurprisesComingSoon",2,"@newsweek,@tigerwoods,@kobebryant,@jordan.b.peterson,@eschmidt,@dallascowboys,@phpagency.,@jenbetdavid,@phpagency,@moneysmartguy,@rodolfophp,@jfgaytan,@iamjorgepelayo,@thebullofmoney,@grazianiforpresident,@Valuetainment",16
2018-12-02 13:29:10,,,,,,,
